imp#,employee,team,turnover,male,empower,lmx,jobsat,climate,cohesion,beta_1j.latent,empower[team],lmx[team],lmx.mean[team]
1,36,6,1,1,36,10.4861,5,23.6442,4.3474,1.1150,-1.1841,-0.5185,9.8295
1,37,7,1,1,29,4,2,12,2,0.5910,0.5738,-0.8436,7.8453
1,38,7,0,1,26,6.6650,4,12,2,0.5910,0.5738,-0.8436,7.8453
1,39,7,1,0,26,6,2,12,2,0.5910,0.5738,-0.8436,7.8453
1,40,7,0,1,26,10,4,12,2,0.5910,0.5738,-0.8436,7.8453
1,41,7,1,1,31,9,4,12,2,0.5910,0.5738,-0.8436,7.8453
1,42,7,0,0,33,8,4,12,2,0.5910,0.5738,-0.8436,7.8453
1,43,8,999,0,19.1157,8,999,16,3.5000,0.3118,0.0570,1.1322,9.8267
1,44,8,0,0,26,12,5,16,3.5000,0.3118,0.0570,1.1322,9.8267
1,45,8,0,1,25,5,5,16,3.5000,0.3118,0.0570,1.1322,9.8267
1,46,8,999,1,31.4230,9,999,16,3.5000,0.3118,0.0570,1.1322,9.8267
1,47,8,0,1,29,5,3,16,3.5000,0.3118,0.0570,1.1322,9.8267
1,48,8,0,0,27,10.1610,4,16,3.5000,0.3118,0.0570,1.1322,9.8267
1,49,9,0,0,27,7,5,23,4,0.0855,0.6385,0.1976,10.0781
1,50,9,0,0,28,9,5,23,4,0.0855,0.6385,0.1976,10.0781
1,51,9,0,0,26,7,4,23,4,0.0855,0.6385,0.1976,10.0781
1,52,9,0,1,29,12,4,23,4,0.0855,0.6385,0.1976,10.0781
1,53,9,1,1,28,10,4,23,4,0.0855,0.6385,0.1976,10.0781
1,54,9,0,0,25,9.8240,5,23,4,0.0855,0.6385,0.1976,10.0781
1,55,10,1,1,33,8,4,24,6.5000,1.1531,-0.7552,0.2861,9.1219
1,56,10,1,0,27,9,3,24,6.5000,1.1531,-0.7552,0.2861,9.1219
1,57,10,0,1,29,6,4,24,6.5000,1.1531,-0.7552,0.2861,9.1219
1,58,10,0,1,36,14,4,24,6.5000,1.1531,-0.7552,0.2861,9.1219
1,59,10,0,0,24,8.3591,4,24,6.5000,1.1531,-0.7552,0.2861,9.1219
1,60,10,0,1,22,5,3,24,6.5000,1.1531,-0.7552,0.2861,9.1219
1,61,11,1,0,28,8,3,15,5,1.0228,-0.5964,-1.2191,9.3708
1,62,11,0,1,26,7,6,15,5,1.0228,-0.5964,-1.2191,9.3708
1,63,11,0,0,30,11,4,15,5,1.0228,-0.5964,-1.2191,9.3708
1,64,11,0,1,28,8,4,15,5,1.0228,-0.5964,-1.2191,9.3708
1,65,11,0,1,28,8,3,15,5,1.0228,-0.5964,-1.2191,9.3708
1,66,11,1,0,25,5,3,15,5,1.0228,-0.5964,-1.2191,9.3708
1,67,12,0,1,36,10,5,18,6,0.1906,1.1525,0.5641,9.6277
1,68,12,0,1,32,13.0742,3,18,6,0.1906,1.1525,0.5641,9.6277
1,69,12,0,0,30,11,4,18,6,0.1906,1.1525,0.5641,9.6277
1,70,12,0,0,30,12,7,18,6,0.1906,1.1525,0.5641,9.6277
1,71,12,1,0,34,9,3,18,6,0.1906,1.1525,0.5641,9.6277
1,72,12,999,1,28.7223,7,999,18,6,0.1906,1.1525,0.5641,9.6277
1,73,13,0,1,24,5,5,19,4.5000,1.4317,-0.5136,-1.1587,9.2241
1,74,13,0,1,23,2,4,19,4.5000,1.4317,-0.5136,-1.1587,9.2241
1,75,13,0,0,25,10,4,19,4.5000,1.4317,-0.5136,-1.1587,9.2241
1,76,13,1,0,27,11,4,19,4.5000,1.4317,-0.5136,-1.1587,9.2241
1,77,13,1,1,24,6,3,19,4.5000,1.4317,-0.5136,-1.1587,9.2241
1,78,13,999,1,24.1260,8,999,19,4.5000,1.4317,-0.5136,-1.1587,9.2241
1,79,14,1,1,24,3,2,20,5,1.1630,0.0642,-1.8183,8.0692
1,80,14,0,1,30,7.1866,3,20,5,1.1630,0.0642,-1.8183,8.0692
1,81,14,1,0,22,7,2,20,5,1.1630,0.0642,-1.8183,8.0692
1,82,14,1,0,27,8,4,20,5,1.1630,0.0642,-1.8183,8.0692
1,83,14,0,0,38,10,4,20,5,1.1630,0.0642,-1.8183,8.0692
1,84,14,1,1,30,4,4,20,5,1.1630,0.0642,-1.8183,8.0692
1,85,15,0,1,34,9,3,15,4.5000,0.5109,-0.2058,0.4830,9.7034
1,86,15,0,1,24,13,5,15,4.5000,0.5109,-0.2058,0.4830,9.7034
1,87,15,1,1,21,5,3,15,4.5000,0.5109,-0.2058,0.4830,9.7034
1,88,15,0,1,33,12,3,15,4.5000,0.5109,-0.2058,0.4830,9.7034
1,89,15,0,1,35,10,5,15,4.5000,0.5109,-0.2058,0.4830,9.7034
1,90,15,1,1,23,9.9844,1,15,4.5000,0.5109,-0.2058,0.4830,9.7034
1,91,16,0,1,28,9,5,24,4.5000,0.5458,1.0706,0.1466,9.6165
1,92,16,999,1,28.9407,9,999,24,4.5000,0.5458,1.0706,0.1466,9.6165
1,93,16,1,0,24,4,3,24,4.5000,0.5458,1.0706,0.1466,9.6165
1,94,16,0,1,34,12,5,24,4.5000,0.5458,1.0706,0.1466,9.6165
1,95,16,0,0,34,8,5,24,4.5000,0.5458,1.0706,0.1466,9.6165
1,96,16,1,0,34.5183,12,6,24,4.5000,0.5458,1.0706,0.1466,9.6165
1,97,17,1,0,29,4,3,15,5.5000,0.5081,0.0147,-0.2035,9.6897
1,98,17,999,0,23.5940,11,999,15,5.5000,0.5081,0.0147,-0.2035,9.6897
1,99,17,0,0,26,10,5,15,5.5000,0.5081,0.0147,-0.2035,9.6897
1,100,17,0,1,33,10,4,15,5.5000,0.5081,0.0147,-0.2035,9.6897
1,101,17,1,1,29,4.8728,4,15,5.5000,0.5081,0.0147,-0.2035,9.6897
1,102,17,0,0,22.8035,12,6,15,5.5000,0.5081,0.0147,-0.2035,9.6897
1,103,18,0,1,31.4084,10,1,16,4,0.2680,0.3697,1.2847,11.0480
1,104,18,1,0,22,10,4,16,4,0.2680,0.3697,1.2847,11.0480
1,105,18,0,1,28,9,3,16,4,0.2680,0.3697,1.2847,11.0480
1,106,18,1,1,32,13,4,16,4,0.2680,0.3697,1.2847,11.0480
1,107,18,0,0,27,10,2,16,4,0.2680,0.3697,1.2847,11.0480
1,108,18,999,1,33.2667,17,999,16,4,0.2680,0.3697,1.2847,11.0480
1,109,19,0,0,28,8,5,22,5,-0.0293,0.6905,-0.5133,8.6822
1,110,19,0,0,33,13,4,22,5,-0.0293,0.6905,-0.5133,8.6822
1,111,19,0,1,35.0367,9,4,22,5,-0.0293,0.6905,-0.5133,8.6822
1,112,19,0,0,26,4,7,22,5,-0.0293,0.6905,-0.5133,8.6822
1,113,19,0,1,33,13.6989,3,22,5,-0.0293,0.6905,-0.5133,8.6822
1,114,19,0,0,30.9140,11,4,22,5,-0.0293,0.6905,-0.5133,8.6822
1,115,20,0,0,23,9,3,14,3,1.0436,-0.8854,0.1448,10.1612
1,116,20,1,0,22,6,4,14,3,1.0436,-0.8854,0.1448,10.1612
1,117,20,0,0,29,12,4,14,3,1.0436,-0.8854,0.1448,10.1612
1,118,20,0,0,26,15,4,14,3,1.0436,-0.8854,0.1448,10.1612
1,119,20,1,0,29,10,3,14,3,1.0436,-0.8854,0.1448,10.1612
1,120,20,0,0,24,9,4,14,3,1.0436,-0.8854,0.1448,10.1612
1,121,21,0,1,25,7,3,19,5,1.4028,0.9328,0.1770,10.0290
1,122,21,1,0,39.1276,17,4,19,5,1.4028,0.9328,0.1770,10.0290
1,123,21,1,0,17,5,2,19,5,1.4028,0.9328,0.1770,10.0290
1,124,21,0,0,35,11.8114,5,19,5,1.4028,0.9328,0.1770,10.0290
1,125,21,0,0,26,9,5,19,5,1.4028,0.9328,0.1770,10.0290
1,126,21,0,1,37,10,3,19,5,1.4028,0.9328,0.1770,10.0290
1,127,22,0,1,39,10,5,28.5384,7,0.4033,0.5022,-0.8982,9.3081
1,128,22,0,1,31,7,4,28.5384,7,0.4033,0.5022,-0.8982,9.3081
1,129,22,0,1,32,6,3,28.5384,7,0.4033,0.5022,-0.8982,9.3081
1,130,22,0,1,33,9,6,28.5384,7,0.4033,0.5022,-0.8982,9.3081
1,131,22,0,0,32,5,3,28.5384,7,0.4033,0.5022,-0.8982,9.3081
1,132,22,0,1,31,11.7674,3,28.5384,7,0.4033,0.5022,-0.8982,9.3081
1,133,23,0,1,28,11,4,24,6.1472,1.4246,0.2081,1.8536,11.6468
1,134,23,0,0,22,10,4,24,6.1472,1.4246,0.2081,1.8536,11.6468
1,135,23,999,0,30.9272,14,999,24,6.1472,1.4246,0.2081,1.8536,11.6468
1,136,23,0,1,33,11,5,24,6.1472,1.4246,0.2081,1.8536,11.6468
1,137,23,0,1,30,9,4,24,6.1472,1.4246,0.2081,1.8536,11.6468
1,138,23,0,1,31.7126,13,6,24,6.1472,1.4246,0.2081,1.8536,11.6468
1,139,24,0,0,28,10,3,19,8,0.8923,0.1129,0.8765,9.8490
1,140,24,0,1,36,14,4,19,8,0.8923,0.1129,0.8765,9.8490
1,141,24,1,0,27,5.8076,3,19,8,0.8923,0.1129,0.8765,9.8490
1,142,24,0,0,26,11,2,19,8,0.8923,0.1129,0.8765,9.8490
1,143,24,0,0,24,9,1,19,8,0.8923,0.1129,0.8765,9.8490
1,144,24,0,1,36.6222,13,4,19,8,0.8923,0.1129,0.8765,9.8490
1,145,25,999,1,32.4763,10,999,11.4076,7,0.1834,-0.5057,-1.6867,10.4049
1,146,25,1,0,26,8,1,11.4076,7,0.1834,-0.5057,-1.6867,10.4049
1,147,25,0,0,34,6,4,11.4076,7,0.1834,-0.5057,-1.6867,10.4049
1,148,25,1,0,26,6,2,11.4076,7,0.1834,-0.5057,-1.6867,10.4049
1,149,25,999,1,27.3365,10,999,11.4076,7,0.1834,-0.5057,-1.6867,10.4049
1,150,25,0,0,28,8.5225,4,11.4076,7,0.1834,-0.5057,-1.6867,10.4049
1,151,26,0,1,29,9,4,22,5,0.9532,0.3671,0.3179,10.2369
1,152,26,0,0,30.8352,12,4,22,5,0.9532,0.3671,0.3179,10.2369
1,153,26,1,0,23,10,3,22,5,0.9532,0.3671,0.3179,10.2369
1,154,26,0,0,22,9,5,22,5,0.9532,0.3671,0.3179,10.2369
1,155,26,0,1,31,7,3,22,5,0.9532,0.3671,0.3179,10.2369
1,156,26,0,1,26,10,4,22,5,0.9532,0.3671,0.3179,10.2369
1,157,27,1,1,34,14.0995,3,21,4.5000,1.1810,-0.8190,0.1563,10.1199
1,158,27,0,1,32,12,4,21,4.5000,1.1810,-0.8190,0.1563,10.1199
1,159,27,0,1,30.9023,13,6,21,4.5000,1.1810,-0.8190,0.1563,10.1199
1,160,27,1,1,29,7,5,21,4.5000,1.1810,-0.8190,0.1563,10.1199
1,161,27,0,0,20,4,5,21,4.5000,1.1810,-0.8190,0.1563,10.1199
1,162,27,0,0,29,12,5,21,4.5000,1.1810,-0.8190,0.1563,10.1199
1,163,28,1,1,25,3,5,26,6,1.0098,0.0284,-0.5603,9.4472
1,164,28,0,1,30,7.9239,5,26,6,1.0098,0.0284,-0.5603,9.4472
1,165,28,0,1,29,8,7,26,6,1.0098,0.0284,-0.5603,9.4472
1,166,28,0,0,30,8,5,26,6,1.0098,0.0284,-0.5603,9.4472
1,167,28,1,0,26,9,3,26,6,1.0098,0.0284,-0.5603,9.4472
1,168,28,0,1,38.7343,11,7,26,6,1.0098,0.0284,-0.5603,9.4472
1,169,29,0,1,30,12,4,19,3.5000,0.7947,-0.3911,1.7980,9.7506
1,170,29,0,1,30,12,3,19,3.5000,0.7947,-0.3911,1.7980,9.7506
1,171,29,1,1,32,12.4081,3,19,3.5000,0.7947,-0.3911,1.7980,9.7506
1,172,29,999,0,23,5,999,19,3.5000,0.7947,-0.3911,1.7980,9.7506
1,173,29,999,0,36.0072,14,999,19,3.5000,0.7947,-0.3911,1.7980,9.7506
1,174,29,0,1,35,13,5,19,3.5000,0.7947,-0.3911,1.7980,9.7506
1,175,30,1,0,26,9,4,21,4,0.1843,-0.2280,1.9366,9.7840
1,176,30,1,0,22,14,7,21,4,0.1843,-0.2280,1.9366,9.7840
1,177,30,1,0,30,9.7507,2,21,4,0.1843,-0.2280,1.9366,9.7840
1,178,30,0,0,30,14,6,21,4,0.1843,-0.2280,1.9366,9.7840
1,179,30,0,1,29,14,5,21,4,0.1843,-0.2280,1.9366,9.7840
1,180,30,1,1,32,8.0459,3,21,4,0.1843,-0.2280,1.9366,9.7840
1,181,31,1,0,28,10,3,21,4.9656,1.2278,0.5686,2.0922,11.4736
1,182,31,0,0,29.9641,14,4,21,4.9656,1.2278,0.5686,2.0922,11.4736
1,183,31,1,1,22,8,5,21,4.9656,1.2278,0.5686,2.0922,11.4736
1,184,31,0,1,35,11,3,21,4.9656,1.2278,0.5686,2.0922,11.4736
1,185,31,0,0,34.3152,15,5,21,4.9656,1.2278,0.5686,2.0922,11.4736
1,186,31,0,1,28,12,7,21,4.9656,1.2278,0.5686,2.0922,11.4736
1,187,32,1,1,23,9,3,15,4.5000,1.1659,-0.0664,-0.9840,8.4995
1,188,32,0,0,28,9,3,15,4.5000,1.1659,-0.0664,-0.9840,8.4995
1,189,32,0,0,29,12,3,15,4.5000,1.1659,-0.0664,-0.9840,8.4995
1,190,32,1,0,25,6,4,15,4.5000,1.1659,-0.0664,-0.9840,8.4995
1,191,32,1,0,29,11,3,15,4.5000,1.1659,-0.0664,-0.9840,8.4995
1,192,32,0,0,25,5.5213,4,15,4.5000,1.1659,-0.0664,-0.9840,8.4995
1,193,33,1,1,32,8,3,19,5,1.0846,0.1382,1.9996,8.7801
1,194,33,0,1,31,12,6,19,5,1.0846,0.1382,1.9996,8.7801
1,195,33,0,0,31.5756,14,4,19,5,1.0846,0.1382,1.9996,8.7801
1,196,33,0,0,33,13,5,19,5,1.0846,0.1382,1.9996,8.7801
1,197,33,0,1,28.2978,10,3,19,5,1.0846,0.1382,1.9996,8.7801
1,198,33,0,1,32,11,3,19,5,1.0846,0.1382,1.9996,8.7801
1,199,34,1,1,27,9,4,24,5.5000,1.3661,0.1582,-0.3842,10.4697
1,200,34,0,1,30,11,4,24,5.5000,1.3661,0.1582,-0.3842,10.4697
1,201,34,1,0,35.5136,11,5,24,5.5000,1.3661,0.1582,-0.3842,10.4697
1,202,34,0,1,30,8.6146,6,24,5.5000,1.3661,0.1582,-0.3842,10.4697
1,203,34,0,1,31,12,4,24,5.5000,1.3661,0.1582,-0.3842,10.4697
1,204,34,0,1,34.2339,13,3,24,5.5000,1.3661,0.1582,-0.3842,10.4697
1,205,35,0,0,34.2759,15,7,33,3,0.9123,0.2772,0.9218,9.6865
1,206,35,0,1,38,12,6,33,3,0.9123,0.2772,0.9218,9.6865
1,207,35,0,1,32,8,5,33,3,0.9123,0.2772,0.9218,9.6865
1,208,35,0,1,30,7,3,33,3,0.9123,0.2772,0.9218,9.6865
1,209,35,0,1,37.5924,15,7,33,3,0.9123,0.2772,0.9218,9.6865
1,210,35,0,0,18,4,2,33,3,0.9123,0.2772,0.9218,9.6865
1,211,36,0,0,22,8,5,26,6,0.9638,0.2171,0.3788,9.7906
1,212,36,0,0,23,9,5,26,6,0.9638,0.2171,0.3788,9.7906
1,213,36,0,1,31,11,5,26,6,0.9638,0.2171,0.3788,9.7906
1,214,36,0,0,29,10,3,26,6,0.9638,0.2171,0.3788,9.7906
1,215,36,0,0,20,10,5,26,6,0.9638,0.2171,0.3788,9.7906
1,216,36,0,1,20,9,5,26,6,0.9638,0.2171,0.3788,9.7906
1,217,37,1,0,36,6,4,17,6,0.4168,0.3444,0.5796,9.6589
1,218,37,0,1,32,9,3,17,6,0.4168,0.3444,0.5796,9.6589
1,219,37,1,0,26,7,2,17,6,0.4168,0.3444,0.5796,9.6589
1,220,37,0,0,26,11,2,17,6,0.4168,0.3444,0.5796,9.6589
1,221,37,1,0,23,10,4,17,6,0.4168,0.3444,0.5796,9.6589
1,222,37,0,0,31,11,5,17,6,0.4168,0.3444,0.5796,9.6589
1,223,38,1,1,30,7,3,27,10,0.3191,-0.1796,-0.8046,9.3301
1,224,38,0,0,36,11,5,27,10,0.3191,-0.1796,-0.8046,9.3301
1,225,38,0,1,28,11,3,27,10,0.3191,-0.1796,-0.8046,9.3301
1,226,38,0,1,26,10,4,27,10,0.3191,-0.1796,-0.8046,9.3301
1,227,38,0,0,31,9,5,27,10,0.3191,-0.1796,-0.8046,9.3301
1,228,38,0,0,25,8,4,27,10,0.3191,-0.1796,-0.8046,9.3301
1,229,39,0,0,30,12,6,19,4,1.0167,-0.0528,1.1098,10.2309
1,230,39,0,1,23,8,4,19,4,1.0167,-0.0528,1.1098,10.2309
1,231,39,0,1,40,15,5,19,4,1.0167,-0.0528,1.1098,10.2309
1,232,39,1,1,27,12,3,19,4,1.0167,-0.0528,1.1098,10.2309
1,233,39,1,0,22,9,5,19,4,1.0167,-0.0528,1.1098,10.2309
1,234,39,1,1,29.2645,15,4,19,4,1.0167,-0.0528,1.1098,10.2309
1,235,40,0,1,30,10,4,15,3.5000,0.5874,0.5442,1.5062,10.5533
1,236,40,999,1,25.3387,8,999,15,3.5000,0.5874,0.5442,1.5062,10.5533
1,237,40,1,1,26,10,2,15,3.5000,0.5874,0.5442,1.5062,10.5533
1,238,40,0,0,25,14,6,15,3.5000,0.5874,0.5442,1.5062,10.5533
1,239,40,0,1,32.9941,15,5,15,3.5000,0.5874,0.5442,1.5062,10.5533
1,240,40,0,0,31.2192,16,6,15,3.5000,0.5874,0.5442,1.5062,10.5533
1,241,41,0,1,29.2720,13,5,23,5.5000,1.0717,0.5304,1.6947,10.8955
1,242,41,0,0,30,10,4,23,5.5000,1.0717,0.5304,1.6947,10.8955
1,243,41,0,1,32.2726,13,4,23,5.5000,1.0717,0.5304,1.6947,10.8955
1,244,41,1,0,24,8,2,23,5.5000,1.0717,0.5304,1.6947,10.8955
1,245,41,0,1,41,17,5,23,5.5000,1.0717,0.5304,1.6947,10.8955
1,246,41,0,0,28,8,6,23,5.5000,1.0717,0.5304,1.6947,10.8955
1,247,42,1,1,28,11,5,18,5,1.3259,0.5368,-0.7775,10.6492
1,248,42,1,1,32,7,4,18,5,1.3259,0.5368,-0.7775,10.6492
1,249,42,0,0,26.7839,12,4,18,5,1.3259,0.5368,-0.7775,10.6492
1,250,42,1,0,32.9943,14,3,18,5,1.3259,0.5368,-0.7775,10.6492
1,251,42,0,1,27,9,2,18,5,1.3259,0.5368,-0.7775,10.6492
1,252,42,0,0,31.3066,13,5,18,5,1.3259,0.5368,-0.7775,10.6492
1,253,43,0,0,23.3194,12,4,15,4.5000,0.5296,-0.3751,1.5072,11.0222
1,254,43,0,1,27,9,5,15,4.5000,0.5296,-0.3751,1.5072,11.0222
1,255,43,0,1,36,11,5,15,4.5000,0.5296,-0.3751,1.5072,11.0222
1,256,43,0,0,23,14,4,15,4.5000,0.5296,-0.3751,1.5072,11.0222
1,257,43,1,0,29,13,4,15,4.5000,0.5296,-0.3751,1.5072,11.0222
1,258,43,1,1,23,13,3,15,4.5000,0.5296,-0.3751,1.5072,11.0222
1,259,44,1,0,28,10,2,21,6,1.2818,-0.2499,1.4117,9.8868
1,260,44,0,0,41.1965,15,6,21,6,1.2818,-0.2499,1.4117,9.8868
1,261,44,0,1,26,10,4,21,6,1.2818,-0.2499,1.4117,9.8868
1,262,44,0,1,31,10,4,21,6,1.2818,-0.2499,1.4117,9.8868
1,263,44,1,1,35.9396,15,7,21,6,1.2818,-0.2499,1.4117,9.8868
1,264,44,0,0,25,8,6,21,6,1.2818,-0.2499,1.4117,9.8868
1,265,45,0,0,25,11,4,12,3,1.3026,0.5460,-0.8087,9.2282
1,266,45,1,1,25,9,1,12,3,1.3026,0.5460,-0.8087,9.2282
1,267,45,1,1,29,7,4,12,3,1.3026,0.5460,-0.8087,9.2282
1,268,45,0,0,22,9,4,12,3,1.3026,0.5460,-0.8087,9.2282
1,269,45,1,0,19,5,1,12,3,1.3026,0.5460,-0.8087,9.2282
1,270,45,1,1,28,11,4,12,3,1.3026,0.5460,-0.8087,9.2282
1,271,46,1,0,21,6,2,17,4.5000,0.9024,0.1173,0.4581,9.6866
1,272,46,1,0,35,12,3,17,4.5000,0.9024,0.1173,0.4581,9.6866
1,273,46,0,0,28,8,3,17,4.5000,0.9024,0.1173,0.4581,9.6866
1,274,46,0,1,33,14,5,17,4.5000,0.9024,0.1173,0.4581,9.6866
1,275,46,999,0,27.9700,9,999,17,4.5000,0.9024,0.1173,0.4581,9.6866
1,276,46,999,0,29.8000,10,999,17,4.5000,0.9024,0.1173,0.4581,9.6866
1,277,47,999,0,29.4951,8,999,19.6469,4.5000,0.9954,0.0568,-0.8667,8.5041
1,278,47,1,1,37,5,3,19.6469,4.5000,0.9954,0.0568,-0.8667,8.5041
1,279,47,1,0,32,7,2,19.6469,4.5000,0.9954,0.0568,-0.8667,8.5041
1,280,47,0,0,27,10,3,19.6469,4.5000,0.9954,0.0568,-0.8667,8.5041
1,281,47,0,1,33,9,2,19.6469,4.5000,0.9954,0.0568,-0.8667,8.5041
1,282,47,1,1,32,7,6,19.6469,4.5000,0.9954,0.0568,-0.8667,8.5041
1,283,48,0,0,24,5,4,24,3.5000,0.9878,-0.0814,0.4835,8.7611
1,284,48,0,1,28,11,6,24,3.5000,0.9878,-0.0814,0.4835,8.7611
1,285,48,0,0,23,7,2,24,3.5000,0.9878,-0.0814,0.4835,8.7611
1,286,48,0,0,30,11,5,24,3.5000,0.9878,-0.0814,0.4835,8.7611
1,287,48,0,0,22,5,6,24,3.5000,0.9878,-0.0814,0.4835,8.7611
1,288,48,0,0,27,8,3,24,3.5000,0.9878,-0.0814,0.4835,8.7611
1,289,49,0,0,31,10,6,21,4.5000,0.6598,0.0502,1.2282,7.4487
1,290,49,1,0,24,9,4,21,4.5000,0.6598,0.0502,1.2282,7.4487
1,291,49,1,0,36,14,4,21,4.5000,0.6598,0.0502,1.2282,7.4487
1,292,49,0,1,33,9,5,21,4.5000,0.6598,0.0502,1.2282,7.4487
1,293,49,0,1,31,15,7,21,4.5000,0.6598,0.0502,1.2282,7.4487
1,294,49,0,1,27,6,5,21,4.5000,0.6598,0.0502,1.2282,7.4487
1,295,50,1,0,27,9,5,22,3,0.7984,-0.0889,0.6751,10.8192
1,296,50,999,0,28,8,999,22,3,0.7984,-0.0889,0.6751,10.8192
1,297,50,0,0,29.6583,13,4,22,3,0.7984,-0.0889,0.6751,10.8192
1,298,50,0,0,28,14,4,22,3,0.7984,-0.0889,0.6751,10.8192
1,299,50,0,1,34,13,6,22,3,0.7984,-0.0889,0.6751,10.8192
1,300,50,1,0,27,8,3,22,3,0.7984,-0.0889,0.6751,10.8192
1,301,51,0,0,28,12,6,26,4.8666,0.6249,0.2319,1.1039,11.4129
1,302,51,0,1,37.5854,17,6,26,4.8666,0.6249,0.2319,1.1039,11.4129
1,303,51,0,0,35,13,6,26,4.8666,0.6249,0.2319,1.1039,11.4129
1,304,51,0,1,36.1233,17,6,26,4.8666,0.6249,0.2319,1.1039,11.4129
1,305,51,0,1,23,5,5,26,4.8666,0.6249,0.2319,1.1039,11.4129
1,306,51,0,1,30.0000,11,4,26,4.8666,0.6249,0.2319,1.1039,11.4129
1,307,52,0,1,32,8,5,19,5.5000,0.4429,0.3247,0.2178,9.7986
1,308,52,0,0,28.2307,10,4,19,5.5000,0.4429,0.3247,0.2178,9.7986
1,309,52,1,1,34.4089,13,6,19,5.5000,0.4429,0.3247,0.2178,9.7986
1,310,52,0,1,28,8,4,19,5.5000,0.4429,0.3247,0.2178,9.7986
1,311,52,0,0,31,9,4,19,5.5000,0.4429,0.3247,0.2178,9.7986
1,312,52,1,1,37,9,4,19,5.5000,0.4429,0.3247,0.2178,9.7986
1,313,53,0,1,27,7,3,21,3.5000,0.4370,0.0328,-0.5315,7.9988
1,314,53,0,0,34.8977,10,4,21,3.5000,0.4370,0.0328,-0.5315,7.9988
1,315,53,999,0,28.5071,8,1,21,3.5000,0.4370,0.0328,-0.5315,7.9988
1,316,53,0,0,32,9,4,21,3.5000,0.4370,0.0328,-0.5315,7.9988
1,317,53,0,0,29,10,5,21,3.5000,0.4370,0.0328,-0.5315,7.9988
1,318,53,0,0,29,8,4,21,3.5000,0.4370,0.0328,-0.5315,7.9988
1,319,54,0,1,30,16,5,21,6.5000,0.2937,0.1002,3.1074,11.9963
1,320,54,1,1,28.0320,13,3,21,6.5000,0.2937,0.1002,3.1074,11.9963
