imp#,employee,team,turnover,male,empower,lmx,jobsat,climate,cohesion,empower[team],empower$lmx[team],lmx.mean[team]
1,48,8,0,0,27,10.8160,4,16,3.5000,-0.0184,-0.3374,9.3488
1,49,9,0,0,27,7,5,23,4,0.0123,-0.5814,7.9783
1,50,9,0,0,28,9,5,23,4,0.0123,-0.5814,7.9783
1,51,9,0,0,26,7,4,23,4,0.0123,-0.5814,7.9783
1,52,9,0,1,29,12,4,23,4,0.0123,-0.5814,7.9783
1,53,9,1,1,28,10,4,23,4,0.0123,-0.5814,7.9783
1,54,9,0,0,25,8.7210,5,23,4,0.0123,-0.5814,7.9783
1,55,10,1,1,33,8,4,24,6.5000,1.4372,0.7065,8.7988
1,56,10,1,0,27,9,3,24,6.5000,1.4372,0.7065,8.7988
1,57,10,0,1,29,6,4,24,6.5000,1.4372,0.7065,8.7988
1,58,10,0,1,36,14,4,24,6.5000,1.4372,0.7065,8.7988
1,59,10,0,0,24,5.0335,4,24,6.5000,1.4372,0.7065,8.7988
1,60,10,0,1,22,5,3,24,6.5000,1.4372,0.7065,8.7988
1,61,11,1,0,28,8,3,15,5,0.1277,0.1322,8.1986
1,62,11,0,1,26,7,6,15,5,0.1277,0.1322,8.1986
1,63,11,0,0,30,11,4,15,5,0.1277,0.1322,8.1986
1,64,11,0,1,28,8,4,15,5,0.1277,0.1322,8.1986
1,65,11,0,1,28,8,3,15,5,0.1277,0.1322,8.1986
1,66,11,1,0,25,5,3,15,5,0.1277,0.1322,8.1986
1,67,12,0,1,36,10,5,18,6,1.0618,-0.0258,10.1509
1,68,12,0,1,32,2.7992,3,18,6,1.0618,-0.0258,10.1509
1,69,12,0,0,30,11,4,18,6,1.0618,-0.0258,10.1509
1,70,12,0,0,30,12,7,18,6,1.0618,-0.0258,10.1509
1,71,12,1,0,34,9,3,18,6,1.0618,-0.0258,10.1509
1,72,12,999,1,27.1808,7,999,18,6,1.0618,-0.0258,10.1509
1,73,13,0,1,24,5,5,19,4.5000,0.1724,0.0874,8.8829
1,74,13,0,1,23,2,4,19,4.5000,0.1724,0.0874,8.8829
1,75,13,0,0,25,10,4,19,4.5000,0.1724,0.0874,8.8829
1,76,13,1,0,27,11,4,19,4.5000,0.1724,0.0874,8.8829
1,77,13,1,1,24,6,3,19,4.5000,0.1724,0.0874,8.8829
1,78,13,999,1,27.9704,8,999,19,4.5000,0.1724,0.0874,8.8829
1,79,14,1,1,24,3,2,20,5,1.3777,-0.2203,9.7727
1,80,14,0,1,30,10.3962,3,20,5,1.3777,-0.2203,9.7727
1,81,14,1,0,22,7,2,20,5,1.3777,-0.2203,9.7727
1,82,14,1,0,27,8,4,20,5,1.3777,-0.2203,9.7727
1,83,14,0,0,38,10,4,20,5,1.3777,-0.2203,9.7727
1,84,14,1,1,30,4,4,20,5,1.3777,-0.2203,9.7727
1,85,15,0,1,34,9,3,15,4.5000,0.0352,0.8633,9.2726
1,86,15,0,1,24,13,5,15,4.5000,0.0352,0.8633,9.2726
1,87,15,1,1,21,5,3,15,4.5000,0.0352,0.8633,9.2726
1,88,15,0,1,33,12,3,15,4.5000,0.0352,0.8633,9.2726
1,89,15,0,1,35,10,5,15,4.5000,0.0352,0.8633,9.2726
1,90,15,1,1,23,8.3874,1,15,4.5000,0.0352,0.8633,9.2726
1,91,16,0,1,28,9,5,24,4.5000,0.4460,0.2880,9.1146
1,92,16,999,1,31.9359,9,999,24,4.5000,0.4460,0.2880,9.1146
1,93,16,1,0,24,4,3,24,4.5000,0.4460,0.2880,9.1146
1,94,16,0,1,34,12,5,24,4.5000,0.4460,0.2880,9.1146
1,95,16,0,0,34,8,5,24,4.5000,0.4460,0.2880,9.1146
1,96,16,1,0,27.4175,12,6,24,4.5000,0.4460,0.2880,9.1146
1,97,17,1,0,29,4,3,15,5.5000,0.8249,-1.0314,9.4696
1,98,17,999,0,21.0155,11,999,15,5.5000,0.8249,-1.0314,9.4696
1,99,17,0,0,26,10,5,15,5.5000,0.8249,-1.0314,9.4696
1,100,17,0,1,33,10,4,15,5.5000,0.8249,-1.0314,9.4696
1,101,17,1,1,29,7.6539,4,15,5.5000,0.8249,-1.0314,9.4696
1,102,17,0,0,23.1758,12,6,15,5.5000,0.8249,-1.0314,9.4696
1,103,18,0,1,32.4966,10,1,16,4,-0.7305,0.7877,10.1775
1,104,18,1,0,22,10,4,16,4,-0.7305,0.7877,10.1775
1,105,18,0,1,28,9,3,16,4,-0.7305,0.7877,10.1775
1,106,18,1,1,32,13,4,16,4,-0.7305,0.7877,10.1775
1,107,18,0,0,27,10,2,16,4,-0.7305,0.7877,10.1775
1,108,18,999,1,37.1560,17,999,16,4,-0.7305,0.7877,10.1775
1,109,19,0,0,28,8,5,22,5,0.3054,0.5061,9.3958
1,110,19,0,0,33,13,4,22,5,0.3054,0.5061,9.3958
1,111,19,0,1,26.4306,9,4,22,5,0.3054,0.5061,9.3958
1,112,19,0,0,26,4,7,22,5,0.3054,0.5061,9.3958
1,113,19,0,1,33,7.5064,3,22,5,0.3054,0.5061,9.3958
1,114,19,0,0,29.8929,11,4,22,5,0.3054,0.5061,9.3958
1,115,20,0,0,23,9,3,14,3,0.1218,0.0608,10.0913
1,116,20,1,0,22,6,4,14,3,0.1218,0.0608,10.0913
1,117,20,0,0,29,12,4,14,3,0.1218,0.0608,10.0913
1,118,20,0,0,26,15,4,14,3,0.1218,0.0608,10.0913
1,119,20,1,0,29,10,3,14,3,0.1218,0.0608,10.0913
1,120,20,0,0,24,9,4,14,3,0.1218,0.0608,10.0913
1,121,21,0,1,25,7,3,19,5,-0.7260,0.3144,10.4781
1,122,21,1,0,30.8158,17,4,19,5,-0.7260,0.3144,10.4781
1,123,21,1,0,17,5,2,19,5,-0.7260,0.3144,10.4781
1,124,21,0,0,35,12.6553,5,19,5,-0.7260,0.3144,10.4781
1,125,21,0,0,26,9,5,19,5,-0.7260,0.3144,10.4781
1,126,21,0,1,37,10,3,19,5,-0.7260,0.3144,10.4781
1,127,22,0,1,39,10,5,26.5127,7,-0.0540,-0.7055,8.0315
1,128,22,0,1,31,7,4,26.5127,7,-0.0540,-0.7055,8.0315
1,129,22,0,1,32,6,3,26.5127,7,-0.0540,-0.7055,8.0315
1,130,22,0,1,33,9,6,26.5127,7,-0.0540,-0.7055,8.0315
1,131,22,0,0,32,5,3,26.5127,7,-0.0540,-0.7055,8.0315
1,132,22,0,1,31,6.5758,3,26.5127,7,-0.0540,-0.7055,8.0315
1,133,23,0,1,28,11,4,24,4.7785,-0.0078,0.2134,8.6709
1,134,23,0,0,22,10,4,24,4.7785,-0.0078,0.2134,8.6709
1,135,23,999,0,32.7998,14,999,24,4.7785,-0.0078,0.2134,8.6709
1,136,23,0,1,33,11,5,24,4.7785,-0.0078,0.2134,8.6709
1,137,23,0,1,30,9,4,24,4.7785,-0.0078,0.2134,8.6709
1,138,23,0,1,37.2120,13,6,24,4.7785,-0.0078,0.2134,8.6709
1,139,24,0,0,28,10,3,19,8,-0.4255,0.5340,10.3501
1,140,24,0,1,36,14,4,19,8,-0.4255,0.5340,10.3501
1,141,24,1,0,27,11.0097,3,19,8,-0.4255,0.5340,10.3501
1,142,24,0,0,26,11,2,19,8,-0.4255,0.5340,10.3501
1,143,24,0,0,24,9,1,19,8,-0.4255,0.5340,10.3501
1,144,24,0,1,31.2389,13,4,19,8,-0.4255,0.5340,10.3501
1,145,25,999,1,33.9700,10,999,24.2064,7,0.3848,-0.5141,8.6662
1,146,25,1,0,26,8,1,24.2064,7,0.3848,-0.5141,8.6662
1,147,25,0,0,34,6,4,24.2064,7,0.3848,-0.5141,8.6662
1,148,25,1,0,26,6,2,24.2064,7,0.3848,-0.5141,8.6662
1,149,25,999,1,30.5532,10,999,24.2064,7,0.3848,-0.5141,8.6662
1,150,25,0,0,28,6.8206,4,24.2064,7,0.3848,-0.5141,8.6662
1,151,26,0,1,29,9,4,22,5,-0.2588,0.3993,10.0376
1,152,26,0,0,26.9012,12,4,22,5,-0.2588,0.3993,10.0376
1,153,26,1,0,23,10,3,22,5,-0.2588,0.3993,10.0376
1,154,26,0,0,22,9,5,22,5,-0.2588,0.3993,10.0376
1,155,26,0,1,31,7,3,22,5,-0.2588,0.3993,10.0376
1,156,26,0,1,26,10,4,22,5,-0.2588,0.3993,10.0376
1,157,27,1,1,34,14.0356,3,21,4.5000,0.0863,-0.1392,10.1466
1,158,27,0,1,32,12,4,21,4.5000,0.0863,-0.1392,10.1466
1,159,27,0,1,29.0897,13,6,21,4.5000,0.0863,-0.1392,10.1466
1,160,27,1,1,29,7,5,21,4.5000,0.0863,-0.1392,10.1466
1,161,27,0,0,20,4,5,21,4.5000,0.0863,-0.1392,10.1466
1,162,27,0,0,29,12,5,21,4.5000,0.0863,-0.1392,10.1466
1,163,28,1,1,25,3,5,26,6,-1.4168,0.0925,8.3333
1,164,28,0,1,30,9.7810,5,26,6,-1.4168,0.0925,8.3333
1,165,28,0,1,29,8,7,26,6,-1.4168,0.0925,8.3333
1,166,28,0,0,30,8,5,26,6,-1.4168,0.0925,8.3333
1,167,28,1,0,26,9,3,26,6,-1.4168,0.0925,8.3333
1,168,28,0,1,27.9840,11,7,26,6,-1.4168,0.0925,8.3333
1,169,29,0,1,30,12,4,19,3.5000,0.2226,0.4291,10.1607
1,170,29,0,1,30,12,3,19,3.5000,0.2226,0.4291,10.1607
1,171,29,1,1,32,9.2033,3,19,3.5000,0.2226,0.4291,10.1607
1,172,29,999,0,23,5,999,19,3.5000,0.2226,0.4291,10.1607
1,173,29,999,0,33.2482,14,999,19,3.5000,0.2226,0.4291,10.1607
1,174,29,0,1,35,13,5,19,3.5000,0.2226,0.4291,10.1607
1,175,30,1,0,26,9,4,21,4,0.8831,-0.1088,10.7651
1,176,30,1,0,22,14,7,21,4,0.8831,-0.1088,10.7651
1,177,30,1,0,30,13.3572,2,21,4,0.8831,-0.1088,10.7651
1,178,30,0,0,30,14,6,21,4,0.8831,-0.1088,10.7651
1,179,30,0,1,29,14,5,21,4,0.8831,-0.1088,10.7651
1,180,30,1,1,32,10.0846,3,21,4,0.8831,-0.1088,10.7651
1,181,31,1,0,28,10,3,21,4.9748,-0.2357,0.5375,9.6538
1,182,31,0,0,32.5310,14,4,21,4.9748,-0.2357,0.5375,9.6538
1,183,31,1,1,22,8,5,21,4.9748,-0.2357,0.5375,9.6538
1,184,31,0,1,35,11,3,21,4.9748,-0.2357,0.5375,9.6538
1,185,31,0,0,35.0795,15,5,21,4.9748,-0.2357,0.5375,9.6538
1,186,31,0,1,28,12,7,21,4.9748,-0.2357,0.5375,9.6538
1,187,32,1,1,23,9,3,15,4.5000,-0.1481,0.3206,10.3926
1,188,32,0,0,28,9,3,15,4.5000,-0.1481,0.3206,10.3926
1,189,32,0,0,29,12,3,15,4.5000,-0.1481,0.3206,10.3926
1,190,32,1,0,25,6,4,15,4.5000,-0.1481,0.3206,10.3926
1,191,32,1,0,29,11,3,15,4.5000,-0.1481,0.3206,10.3926
1,192,32,0,0,25,10.7773,4,15,4.5000,-0.1481,0.3206,10.3926
1,193,33,1,1,32,8,3,19,5,0.7993,0.3599,9.7288
1,194,33,0,1,31,12,6,19,5,0.7993,0.3599,9.7288
1,195,33,0,0,32.3074,14,4,19,5,0.7993,0.3599,9.7288
1,196,33,0,0,33,13,5,19,5,0.7993,0.3599,9.7288
1,197,33,0,1,31.5258,10,3,19,5,0.7993,0.3599,9.7288
1,198,33,0,1,32,11,3,19,5,0.7993,0.3599,9.7288
1,199,34,1,1,27,9,4,24,5.5000,-0.5034,0.1697,11.1123
1,200,34,0,1,30,11,4,24,5.5000,-0.5034,0.1697,11.1123
1,201,34,1,0,30.0398,11,5,24,5.5000,-0.5034,0.1697,11.1123
1,202,34,0,1,30,11.0103,6,24,5.5000,-0.5034,0.1697,11.1123
1,203,34,0,1,31,12,4,24,5.5000,-0.5034,0.1697,11.1123
1,204,34,0,1,32.2291,13,3,24,5.5000,-0.5034,0.1697,11.1123
1,205,35,0,0,38.1073,15,7,33,3,1.5981,0.5035,10.9680
1,206,35,0,1,38,12,6,33,3,1.5981,0.5035,10.9680
1,207,35,0,1,32,8,5,33,3,1.5981,0.5035,10.9680
1,208,35,0,1,30,7,3,33,3,1.5981,0.5035,10.9680
1,209,35,0,1,44.1416,15,7,33,3,1.5981,0.5035,10.9680
1,210,35,0,0,18,4,2,33,3,1.5981,0.5035,10.9680
1,211,36,0,0,22,8,5,26,6,-1.3344,0.5101,10.6272
1,212,36,0,0,23,9,5,26,6,-1.3344,0.5101,10.6272
1,213,36,0,1,31,11,5,26,6,-1.3344,0.5101,10.6272
1,214,36,0,0,29,10,3,26,6,-1.3344,0.5101,10.6272
1,215,36,0,0,20,10,5,26,6,-1.3344,0.5101,10.6272
1,216,36,0,1,20,9,5,26,6,-1.3344,0.5101,10.6272
1,217,37,1,0,36,6,4,17,6,-0.6136,-0.1475,8.6970
1,218,37,0,1,32,9,3,17,6,-0.6136,-0.1475,8.6970
1,219,37,1,0,26,7,2,17,6,-0.6136,-0.1475,8.6970
1,220,37,0,0,26,11,2,17,6,-0.6136,-0.1475,8.6970
1,221,37,1,0,23,10,4,17,6,-0.6136,-0.1475,8.6970
1,222,37,0,0,31,11,5,17,6,-0.6136,-0.1475,8.6970
1,223,38,1,1,30,7,3,27,10,-0.4610,-0.2964,10.4477
1,224,38,0,0,36,11,5,27,10,-0.4610,-0.2964,10.4477
1,225,38,0,1,28,11,3,27,10,-0.4610,-0.2964,10.4477
1,226,38,0,1,26,10,4,27,10,-0.4610,-0.2964,10.4477
1,227,38,0,0,31,9,5,27,10,-0.4610,-0.2964,10.4477
1,228,38,0,0,25,8,4,27,10,-0.4610,-0.2964,10.4477
1,229,39,0,0,30,12,6,19,4,0.4607,0.2661,11.2036
1,230,39,0,1,23,8,4,19,4,0.4607,0.2661,11.2036
1,231,39,0,1,40,15,5,19,4,0.4607,0.2661,11.2036
1,232,39,1,1,27,12,3,19,4,0.4607,0.2661,11.2036
1,233,39,1,0,22,9,5,19,4,0.4607,0.2661,11.2036
1,234,39,1,1,32.4831,15,4,19,4,0.4607,0.2661,11.2036
1,235,40,0,1,30,10,4,15,3.5000,-0.3949,1.0957,10.3376
1,236,40,999,1,23.6500,8,999,15,3.5000,-0.3949,1.0957,10.3376
1,237,40,1,1,26,10,2,15,3.5000,-0.3949,1.0957,10.3376
1,238,40,0,0,25,14,6,15,3.5000,-0.3949,1.0957,10.3376
1,239,40,0,1,34.3718,15,5,15,3.5000,-0.3949,1.0957,10.3376
1,240,40,0,0,34.3244,16,6,15,3.5000,-0.3949,1.0957,10.3376
1,241,41,0,1,29.2826,13,5,23,5.5000,0.0851,0.5461,10.6297
1,242,41,0,0,30,10,4,23,5.5000,0.0851,0.5461,10.6297
1,243,41,0,1,34.3552,13,4,23,5.5000,0.0851,0.5461,10.6297
1,244,41,1,0,24,8,2,23,5.5000,0.0851,0.5461,10.6297
1,245,41,0,1,41,17,5,23,5.5000,0.0851,0.5461,10.6297
1,246,41,0,0,28,8,6,23,5.5000,0.0851,0.5461,10.6297
1,247,42,1,1,28,11,5,18,5,0.1567,-1.7116,9.3477
1,248,42,1,1,32,7,4,18,5,0.1567,-1.7116,9.3477
1,249,42,0,0,24.0215,12,4,18,5,0.1567,-1.7116,9.3477
1,250,42,1,0,25.2702,14,3,18,5,0.1567,-1.7116,9.3477
1,251,42,0,1,27,9,2,18,5,0.1567,-1.7116,9.3477
1,252,42,0,0,29.6423,13,5,18,5,0.1567,-1.7116,9.3477
1,253,43,0,0,30.3841,12,4,15,4.5000,0.3901,-0.9892,10.2811
1,254,43,0,1,27,9,5,15,4.5000,0.3901,-0.9892,10.2811
1,255,43,0,1,36,11,5,15,4.5000,0.3901,-0.9892,10.2811
1,256,43,0,0,23,14,4,15,4.5000,0.3901,-0.9892,10.2811
1,257,43,1,0,29,13,4,15,4.5000,0.3901,-0.9892,10.2811
1,258,43,1,1,23,13,3,15,4.5000,0.3901,-0.9892,10.2811
1,259,44,1,0,28,10,2,21,6,-0.2171,0.0147,11.0774
1,260,44,0,0,30.3236,15,6,21,6,-0.2171,0.0147,11.0774
1,261,44,0,1,26,10,4,21,6,-0.2171,0.0147,11.0774
1,262,44,0,1,31,10,4,21,6,-0.2171,0.0147,11.0774
1,263,44,1,1,33.8443,15,7,21,6,-0.2171,0.0147,11.0774
1,264,44,0,0,25,8,6,21,6,-0.2171,0.0147,11.0774
1,265,45,0,0,25,11,4,12,3,0.6033,0.4401,8.8626
1,266,45,1,1,25,9,1,12,3,0.6033,0.4401,8.8626
1,267,45,1,1,29,7,4,12,3,0.6033,0.4401,8.8626
1,268,45,0,0,22,9,4,12,3,0.6033,0.4401,8.8626
1,269,45,1,0,19,5,1,12,3,0.6033,0.4401,8.8626
1,270,45,1,1,28,11,4,12,3,0.6033,0.4401,8.8626
1,271,46,1,0,21,6,2,17,4.5000,0.0935,0.7232,8.4667
1,272,46,1,0,35,12,3,17,4.5000,0.0935,0.7232,8.4667
1,273,46,0,0,28,8,3,17,4.5000,0.0935,0.7232,8.4667
1,274,46,0,1,33,14,5,17,4.5000,0.0935,0.7232,8.4667
1,275,46,999,0,21.3752,9,999,17,4.5000,0.0935,0.7232,8.4667
1,276,46,999,0,33.1960,10,999,17,4.5000,0.0935,0.7232,8.4667
1,277,47,999,0,31.4709,8,999,19.7023,4.5000,0.6006,-1.2358,9.8692
1,278,47,1,1,37,5,3,19.7023,4.5000,0.6006,-1.2358,9.8692
1,279,47,1,0,32,7,2,19.7023,4.5000,0.6006,-1.2358,9.8692
1,280,47,0,0,27,10,3,19.7023,4.5000,0.6006,-1.2358,9.8692
1,281,47,0,1,33,9,2,19.7023,4.5000,0.6006,-1.2358,9.8692
1,282,47,1,1,32,7,6,19.7023,4.5000,0.6006,-1.2358,9.8692
1,283,48,0,0,24,5,4,24,3.5000,0.1793,-0.1185,8.7589
1,284,48,0,1,28,11,6,24,3.5000,0.1793,-0.1185,8.7589
1,285,48,0,0,23,7,2,24,3.5000,0.1793,-0.1185,8.7589
1,286,48,0,0,30,11,5,24,3.5000,0.1793,-0.1185,8.7589
1,287,48,0,0,22,5,6,24,3.5000,0.1793,-0.1185,8.7589
1,288,48,0,0,27,8,3,24,3.5000,0.1793,-0.1185,8.7589
1,289,49,0,0,31,10,6,21,4.5000,0.3831,0.4673,9.8751
1,290,49,1,0,24,9,4,21,4.5000,0.3831,0.4673,9.8751
1,291,49,1,0,36,14,4,21,4.5000,0.3831,0.4673,9.8751
1,292,49,0,1,33,9,5,21,4.5000,0.3831,0.4673,9.8751
1,293,49,0,1,31,15,7,21,4.5000,0.3831,0.4673,9.8751
1,294,49,0,1,27,6,5,21,4.5000,0.3831,0.4673,9.8751
1,295,50,1,0,27,9,5,22,3,-0.1954,-0.0145,9.5674
1,296,50,999,0,28,8,999,22,3,-0.1954,-0.0145,9.5674
1,297,50,0,0,32.2334,13,4,22,3,-0.1954,-0.0145,9.5674
1,298,50,0,0,28,14,4,22,3,-0.1954,-0.0145,9.5674
1,299,50,0,1,34,13,6,22,3,-0.1954,-0.0145,9.5674
1,300,50,1,0,27,8,3,22,3,-0.1954,-0.0145,9.5674
1,301,51,0,0,28,12,6,26,4.8997,0.5197,0.6306,11.8228
1,302,51,0,1,44.8304,17,6,26,4.8997,0.5197,0.6306,11.8228
1,303,51,0,0,35,13,6,26,4.8997,0.5197,0.6306,11.8228
1,304,51,0,1,37.4387,17,6,26,4.8997,0.5197,0.6306,11.8228
1,305,51,0,1,23,5,5,26,4.8997,0.5197,0.6306,11.8228
1,306,51,0,1,35.8842,11,4,26,4.8997,0.5197,0.6306,11.8228
1,307,52,0,1,32,8,5,19,5.5000,0.0006,-0.6571,11.1245
1,308,52,0,0,24.4335,10,4,19,5.5000,0.0006,-0.6571,11.1245
1,309,52,1,1,30.1257,13,6,19,5.5000,0.0006,-0.6571,11.1245
1,310,52,0,1,28,8,4,19,5.5000,0.0006,-0.6571,11.1245
1,311,52,0,0,31,9,4,19,5.5000,0.0006,-0.6571,11.1245
1,312,52,1,1,37,9,4,19,5.5000,0.0006,-0.6571,11.1245
1,313,53,0,1,27,7,3,21,3.5000,0.6417,0.2799,9.2458
1,314,53,0,0,31.3486,10,4,21,3.5000,0.6417,0.2799,9.2458
1,315,53,999,0,20.1336,8,1,21,3.5000,0.6417,0.2799,9.2458
1,316,53,0,0,32,9,4,21,3.5000,0.6417,0.2799,9.2458
1,317,53,0,0,29,10,5,21,3.5000,0.6417,0.2799,9.2458
1,318,53,0,0,29,8,4,21,3.5000,0.6417,0.2799,9.2458
1,319,54,0,1,30,16,5,21,6.5000,0.5966,-0.5635,12.3549
1,320,54,1,1,32.4680,13,3,21,6.5000,0.5966,-0.5635,12.3549
1,321,54,0,1,24,10,5,21,6.5000,0.5966,-0.5635,12.3549
1,322,54,0,1,33,12,5,21,6.5000,0.5966,-0.5635,12.3549
1,323,54,0,1,28.6901,17,5,21,6.5000,0.5966,-0.5635,12.3549
1,324,54,0,1,27,15,4,21,6.5000,0.5966,-0.5635,12.3549
1,325,55,0,0,28,7,3,23.7055,6,-0.4099,-0.3307,9.1266
1,326,55,0,0,26,6,2,23.7055,6,-0.4099,-0.3307,9.1266
1,327,55,0,0,27,5,4,23.7055,6,-0.4099,-0.3307,9.1266
1,328,55,0,0,28,10,4,23.7055,6,-0.4099,-0.3307,9.1266
1,329,55,0,0,24,8,4,23.7055,6,-0.4099,-0.3307,9.1266
1,330,55,0,0,27,6,4,23.7055,6,-0.4099,-0.3307,9.1266
1,331,56,0,1,26,10,5,14,5,-1.0798,1.1374,10.9667
1,332,56,1,0,23,8,2,14,5,-1.0798,1.1374,10.9667
1,333,56,1,0,19,8,2,14,5,-1.0798,1.1374,10.9667
1,334,56,999,1,33.3345,11,1,14,5,-1.0798,1.1374,10.9667
1,335,56,1,0,23,9,2,14,5,-1.0798,1.1374,10.9667
1,336,56,999,0,34.6971,15,999,14,5,-1.0798,1.1374,10.9667
1,337,57,0,0,29,12,5,12,3.5000,0.8382,-0.8254,10.6940
1,338,57,0,0,26,9,5,12,3.5000,0.8382,-0.8254,10.6940
1,339,57,1,1,25,16,3,12,3.5000,0.8382,-0.8254,10.6940
1,340,57,0,0,25,11,3,12,3.5000,0.8382,-0.8254,10.6940
1,341,57,1,1,27,12,3,12,3.5000,0.8382,-0.8254,10.6940
1,342,57,0,0,31,10,2,12,3.5000,0.8382,-0.8254,10.6940
1,343,58,0,0,20,8,3,18,5,0.4253,0.2174,9.5372
1,344,58,0,1,29,8,5,18,5,0.4253,0.2174,9.5372
1,345,58,0,0,33,9,5,18,5,0.4253,0.2174,9.5372
1,346,58,0,1,32,13,5,18,5,0.4253,0.2174,9.5372
1,347,58,1,0,28,7,2,18,5,0.4253,0.2174,9.5372
1,348,58,0,0,29,10,4,18,5,0.4253,0.2174,9.5372
1,349,59,0,1,30,11,5,13,3.5000,-1.3760,0.2238,11.2138
1,350,59,0,0,28,7,4,13,3.5000,-1.3760,0.2238,11.2138
1,351,59,0,0,29,13,2,13,3.5000,-1.3760,0.2238,11.2138
1,352,59,0,0,21,9,3,13,3.5000,-1.3760,0.2238,11.2138
1,353,59,1,0,26,10,4,13,3.5000,-1.3760,0.2238,11.2138
1,354,59,999,0,28.4400,6,999,13,3.5000,-1.3760,0.2238,11.2138
1,355,60,1,1,27,6,4,22,6,-0.2876,0.4816,7.2696
1,356,60,0,1,28,11,6,22,6,-0.2876,0.4816,7.2696
1,357,60,1,0,27,5,2,22,6,-0.2876,0.4816,7.2696
1,358,60,0,0,24,8,3,22,6,-0.2876,0.4816,7.2696
1,359,60,0,1,25,4,3,22,6,-0.2876,0.4816,7.2696
1,360,60,0,0,31,9,3,22,6,-0.2876,0.4816,7.2696
1,361,61,0,1,32,11,2,25,5,-1.3101,-0.1397,9.6045
1,362,61,1,1,30.5254,13,3,25,5,-1.3101,-0.1397,9.6045
